animal id,status ,iWM-A,iHil-A,iGran-A,iMol-A,iCA3-A,iCA2-A,iCA1-A,cWM-A,cHil-A,cGran-A,cMol-A,cCA3-A,cCA2-A,cCA1-A,iWM-B,iHil-B,iGran-B,iMol-B,iCA3-B,iCA2-B,iCA1-B,cWM-B,cHil-B,cGran-B,cMol-B,cCA3-B,cCA2-B,cCA1-B
52,sham,92.236,148.383,141.769,141.779,145.413,150.703,142.272,100.766,151.539,143.546,152.469,147.743,152.822,148.164,55.407,112.929,102.22,141.23,136.45,141.557,136.925,100.35,129.079,117.448,145.267,138.619,133.893,141.172
53,sham,103.797,153.025,145.652,158.795,153.165,158.627,151.125,107.332,161.303,156.604,160.355,154.337,151.712,153.198,54.379,100.665,90.805,118.474,121.216,136.361,112.295,103.247,122.884,113.528,138.632,130.192,130.806,136.567
54,sham,94.092,147.104,141.224,150.071,146.606,152.324,143.635,103.539,152.604,145.818,153.417,149.836,149.454,152.804,58.101,100.757,92.582,127.956,123.195,136.803,121.667,104.218,123.283,112.89,139.534,131.86,134.161,136.062
55,sham,92.774,140.702,133.694,144.798,148.131,149.151,138.267,102.721,141.656,133.723,140.376,140.769,145.985,140.707,53.145,105.314,91.825,134.246,133.896,134.489,123.565,100.193,122.731,114.161,146.652,131.876,133.011,138.546
56,sham,98.952,153.906,154.225,160.678,151.086,163.988,152.99,106.903,148.216,144.657,152.56,149.887,158.744,151.78,54.455,108.849,103.756,149.436,144.421,141.479,135.785,102.795,130.351,122.113,148.261,138.97,141.827,143.502
57,sham,94.355,151.989,141.703,155.466,154.205,153.646,144.331,102.376,151.919,141.829,152.022,150.238,154.412,146.372,49.341,100.256,87.979,124.338,122.288,133.112,119.54,97.273,120.288,111.632,138.737,130.845,134.118,132.03
58,Inj,106.487,131.765,127.462,131.1,144.207,146.875,136.451,101.045,150.059,137.64,148.485,148.466,153.708,144.856,51.118,102.134,101.463,133.641,126.877,135.093,130.697,98.473,118.035,108.364,135.223,128.975,134.845,133.056
59,Inj,107.252,150.84,138.772,141.14,137.6,139.183,142.526,104.182,153.862,146.513,153.926,147.98,154.482,150.791,51.224,97.791,85.104,111.228,126.417,138.04,115.444,98.576,129.385,119.841,146.101,136.591,138.115,140.168
60,Inj,104.401,131.338,127.647,131.045,144.833,153.502,142.706,102.902,157.18,146.171,158.613,163.611,163.927,151.541,50.716,78.445,77.313,107.942,124.997,128.833,121.431,104.629,122.108,112.021,143.051,130.657,128.812,139.381
62,Inj,113.589,134.238,134.103,149.5,128.013,121.241,149.277,104.372,143.065,135.493,146.257,146.105,154.239,147.089,49.705,92.153,78.568,111.504,111.244,120.945,102.628,99.994,126.518,117.152,145.609,134.858,136.302,135.772
63,Inj,102.658,139.073,129.411,141.173,146.282,154.461,146.2,102.744,151.523,142.831,152.129,147.462,152.158,144.503,41.024,71.479,54.059,91.684,97.085,92.382,89.849,101.728,115.641,106.826,132.781,121.529,127.95,134.576
64,Inj ,108.917,125.666,125.534,132.066,147.055,153.344,141.334,99.564,152.971,141.508,153.703,145.333,148.216,147.671,49.533,96.278,79.904,120.645,119.394,123.055,116.718,99.634,126.985,116.188,143.287,137.684,141.327,140.743
